"","number","area","year","species","type","InpN","lenbin","obs_value","label","pred_value","nll","pearson"
"105",1,1,35,"Blue_whiting",0,825,5,0.00242424242424242,"catch",3.67312e-10,-31.4051,126.490649584393
"106",1,1,36,"Blue_whiting",0,804,1,1e-05,"catch",0.357916,0.0843032,-0.598244097571715
"107",1,1,36,"Blue_whiting",0,804,2,0.0385572139303483,"catch",0.436393,75.2184,-0.602233566973861
"108",1,1,36,"Blue_whiting",0,804,3,0.531094527363184,"catch",0.189885,-439.178,0.783025345301014
"109",1,1,36,"Blue_whiting",0,804,4,0.42910447761194,"catch",0.0158059,-1138.95,3.28741320770086
"110",1,1,36,"Blue_whiting",0,804,5,0.00124378109452736,"catch",3.64193e-10,-15.0437,65.174547863332
"111",1,1,37,"Blue_whiting",0,822,1,1e-05,"catch",0.241439,0.0829545,-0.491344075383212
"112",1,1,37,"Blue_whiting",0,822,2,0.0389294403892944,"catch",0.449079,78.2543,-0.612041507426726
"113",1,1,37,"Blue_whiting",0,822,3,0.534063260340633,"catch",0.278325,-286.107,0.48475198673627
"114",1,1,37,"Blue_whiting",0,822,4,0.425790754257908,"catch",0.0311571,-915.217,2.23571069791363
"115",1,1,37,"Blue_whiting",0,822,5,0.00121654501216545,"catch",3.62867e-10,-15.0252,63.8637352406219
"116",1,1,38,"Blue_whiting",0,846,1,1e-05,"catch",0.161283,0.0819633,-0.401575647443951
"117",1,1,38,"Blue_whiting",0,846,2,0.0401891252955083,"catch",0.425309,80.2135,-0.590532283967758
"118",1,1,38,"Blue_whiting",0,846,3,0.546099290780142,"catch",0.360861,-191.41,0.308361955346843
"119",1,1,38,"Blue_whiting",0,846,4,0.411347517730496,"catch",0.0525463,-716.095,1.56524684772625
"120",1,1,38,"Blue_whiting",0,846,5,0.00236406619385343,"catch",3.62925e-10,-31.3789,124.094097015682
"121",1,1,39,"Blue_whiting",0,829,1,1e-05,"catch",0.112849,0.0773559,-0.335900284141201
"122",1,1,39,"Blue_whiting",0,829,2,0.0386007237635706,"catch",0.380865,73.2536,-0.554595114929153
"123",1,1,39,"Blue_whiting",0,829,3,0.546441495778046,"catch",0.42756,-111.135,0.181809145894752
"124",1,1,39,"Blue_whiting",0,829,4,0.41254523522316,"catch",0.0787254,-566.482,1.18974722485665
"125",1,1,39,"Blue_whiting",0,829,5,0.00241254523522316,"catch",3.60545e-10,-31.4327,127.056141287356
"126",1,1,40,"Blue_whiting",0,824,1,1e-05,"catch",0.114119,0.0769815,-0.337785436151824
"127",1,1,40,"Blue_whiting",0,824,2,0.037621359223301,"catch",0.323114,66.6635,-0.502246628347215
"128",1,1,40,"Blue_whiting",0,824,3,0.512135922330097,"catch",0.458548,-46.6417,0.0791360770361995
"129",1,1,40,"Blue_whiting",0,824,4,0.447815533980583,"catch",0.104218,-537.962,1.06433580148383
"130",1,1,40,"Blue_whiting",0,824,5,0.00242718446601942,"catch",3.42911e-10,-31.545,131.072630151073
"131",1,1,41,"Blue_whiting",0,850,1,1e-05,"catch",0.0831247,0.0767169,-0.288278860138949
"132",1,1,41,"Blue_whiting",0,850,2,0.0388235294117647,"catch",0.286754,65.9868,-0.462993786145274
"133",1,1,41,"Blue_whiting",0,850,3,0.518823529411765,"catch",0.494517,-21.1599,0.0345646640334193
"134",1,1,41,"Blue_whiting",0,850,4,0.442352941176471,"catch",0.135604,-444.572,0.833003492246278
"135",1,1,41,"Blue_whiting",0,850,5,1e-05,"catch",3.39951e-10,-0.087459,0.542346790394947
"136",1,1,42,"Blue_whiting",0,816,1,1e-05,"catch",0.110806,0.0759937,-0.332845310771352
"137",1,1,42,"Blue_whiting",0,816,2,0.0343137254901961,"catch",0.242009,54.696,-0.422192833388354
"138",1,1,42,"Blue_whiting",0,816,3,0.479166666666667,"catch",0.488478,7.525,-0.0133226116855884
"139",1,1,42,"Blue_whiting",0,816,4,0.48406862745098,"catch",0.158707,-440.491,0.816710784793977
"140",1,1,42,"Blue_whiting",0,816,5,0.00245098039215686,"catch",3.16743e-10,-31.7233,137.716592312785
"141",1,1,43,"Blue_whiting",0,800,1,1e-05,"catch",0.0763841,0.0715276,-0.276340553139008
"142",1,1,43,"Blue_whiting",0,800,2,0.03125,"catch",0.223165,49.1473,-0.406252343025046
"143",1,1,43,"Blue_whiting",0,800,3,0.46,"catch",0.508251,36.7077,-0.0676810671278278
"144",1,1,43,"Blue_whiting",0,800,4,0.50375,"catch",0.1922,-388.309,0.71064231509248
"145",1,1,43,"Blue_whiting",0,800,5,0.005,"catch",3.15799e-10,-66.3104,281.361455327954
"146",1,1,44,"Blue_whiting",0,821,1,1e-05,"catch",0.378572,0.0865463,-0.615265796436102
"147",1,1,44,"Blue_whiting",0,821,2,0.0316686967113276,"catch",0.17049,43.7671,-0.3362069307438
"148",1,1,44,"Blue_whiting",0,821,3,0.46041412911084,"catch",0.315042,-143.421,0.258998305792571
"149",1,1,44,"Blue_whiting",0,821,4,0.500609013398295,"catch",0.135896,-535.919,0.98934536356675
"150",1,1,44,"Blue_whiting",0,821,5,0.00730816077953715,"catch",1.88661e-10,-104.834,532.067848003271
"151",1,1,45,"Blue_whiting",0,810,1,1e-05,"catch",0.270399,0.0826611,-0.519979807655859
"152",1,1,45,"Blue_whiting",0,810,2,0.0308641975308642,"catch",0.244306,51.7206,-0.431829605218076
"153",1,1,45,"Blue_whiting",0,810,3,0.446913580246914,"catch",0.331783,-107.834,0.199877371042853
"154",1,1,45,"Blue_whiting",0,810,4,0.516049382716049,"catch",0.153512,-506.793,0.925298014321315
"155",1,1,45,"Blue_whiting",0,810,5,0.00617283950617284,"catch",1.83196e-10,-86.6643,456.065246671145
"156",1,1,46,"Blue_whiting",0,812,1,1e-05,"catch",0.196053,0.0802545,-0.442756141131962
"157",1,1,46,"Blue_whiting",0,812,2,0.0369458128078818,"catch",0.26989,59.6569,-0.448392645819394
"158",1,1,46,"Blue_whiting",0,812,3,0.444581280788177,"catch",0.360828,-75.3522,0.139428550571726
"159",1,1,46,"Blue_whiting",0,812,4,0.513546798029557,"catch",0.173229,-453.166,0.817663032748789
"160",1,1,46,"Blue_whiting",0,812,5,0.00492610837438424,"catch",1.79086e-10,-68.5198,368.106196459022
"161",1,1,47,"Blue_whiting",0,806,1,1e-05,"catch",0.184338,0.0791649,-0.429322723067952
"162",1,1,47,"Blue_whiting",0,806,2,0.0285359801488834,"catch",0.260619,50.8735,-0.454611408130642
"163",1,1,47,"Blue_whiting",0,806,3,0.43424317617866,"catch",0.370516,-55.548,0.10469385496848
"164",1,1,47,"Blue_whiting",0,806,4,0.531017369727047,"catch",0.184527,-452.396,0.806605553606458
"165",1,1,47,"Blue_whiting",0,806,5,0.00620347394540943,"catch",1.66083e-10,-87.1794,481.362617887317
"166",1,1,48,"Blue_whiting",0,825,1,1e-05,"catch",0.143972,0.078992,-0.379410069311002
"167",1,1,48,"Blue_whiting",0,825,2,0.0266666666666667,"catch",0.256476,49.7997,-0.453778898914007
"168",1,1,48,"Blue_whiting",0,825,3,0.419393939393939,"catch",0.394612,-21.0743,0.0394502851451767
"169",1,1,48,"Blue_whiting",0,825,4,0.547878787878788,"catch",0.204939,-444.47,0.757539998100785
"170",1,1,48,"Blue_whiting",0,825,5,0.00606060606060606,"catch",1.61417e-10,-87.2054,477.025294649145
"171",1,1,49,"Blue_whiting",0,786,1,1e-05,"catch",0.161328,0.0761525,-0.401631672829541
"172",1,1,49,"Blue_whiting",0,786,2,0.0318066157760814,"catch",0.234979,49.9956,-0.419131355047251
"173",1,1,49,"Blue_whiting",0,786,3,0.435114503816794,"catch",0.390589,-36.9201,0.0712440891101385
"174",1,1,49,"Blue_whiting",0,786,4,0.527989821882952,"catch",0.213103,-376.529,0.682118304421355
"175",1,1,49,"Blue_whiting",0,786,5,0.00508905852417303,"catch",1.4774e-10,-69.4196,418.685948056125
"176",1,1,50,"Blue_whiting",0,811,1,1e-05,"catch",0.193118,0.0800333,-0.439429175769905
"177",1,1,50,"Blue_whiting",0,811,2,0.030826140567201,"catch",0.221388,49.2888,-0.405003655765561
"178",1,1,50,"Blue_whiting",0,811,3,0.437731196054254,"catch",0.372014,-57.7495,0.107745560118006
"179",1,1,50,"Blue_whiting",0,811,4,0.526510480887793,"catch",0.21348,-385.464,0.677498021588504
"180",1,1,50,"Blue_whiting",0,811,5,0.00493218249075216,"catch",1.3109e-10,-69.7726,430.778821532354
"181",1,1,51,"Blue_whiting",0,809,1,1e-05,"catch",0.854199,0.0918647,-0.924218047928663
"182",1,1,51,"Blue_whiting",0,809,2,0.0271940667490729,"catch",0.130703,34.5385,-0.28630903609224
"183",1,1,51,"Blue_whiting",0,809,3,0.431396786155748,"catch",0.0117095,-1258.71,3.8784360738122
"184",1,1,51,"Blue_whiting",0,809,4,0.533992583436341,"catch",0.00338821,-2185.96,9.11560851322464
"185",1,1,51,"Blue_whiting",0,809,5,0.00741656365883807,"catch",1.82988e-12,-132.736,5482.66137498541
"186",1,1,52,"Blue_whiting",0,815,1,1e-05,"catch",0.570124,0.0892508,-0.755052316184382
"187",1,1,52,"Blue_whiting",0,815,2,0.0306748466257669,"catch",0.359292,61.5173,-0.548234618315568
