"","survey","year","species","sizebin","inpN","prey","value","obs"
"272",1,7,"Blue_whiting",3,100,"Norwegian_ssh",0.000818563996713486,0
"273",1,7,"Blue_whiting",3,100,"Polar_cod",1e-06,0
"274",1,7,"Blue_whiting",3,100,"Redfish",0.0477584391175817,1
"275",1,7,"Blue_whiting",3,100,"Saithe",1e-06,0
"276",1,7,"Blue_whiting",3,100,"allotherprey",0.936593552806796,99
"277",1,7,"Blue_whiting",4,100,"Blue_whiting",1e-06,0
"278",1,7,"Blue_whiting",4,100,"Capelin",0.0192792160141181,0
"279",1,7,"Blue_whiting",4,100,"Green_halibut",1e-06,0
"280",1,7,"Blue_whiting",4,100,"Haddock",1e-06,0
"281",1,7,"Blue_whiting",4,100,"Long_rough_dab",1e-06,0
"282",1,7,"Blue_whiting",4,100,"Mackerel",1e-06,0
"283",1,7,"Blue_whiting",4,100,"North_atl_cod",1e-06,0
"284",1,7,"Blue_whiting",4,100,"Norwegian_ssh",0.0010676084752762,0
"285",1,7,"Blue_whiting",4,100,"Polar_cod",1e-06,0
"286",1,7,"Blue_whiting",4,100,"Redfish",0.062754598990306,2
"287",1,7,"Blue_whiting",4,100,"Saithe",1e-06,0
"288",1,7,"Blue_whiting",4,100,"allotherprey",0.9168985765203,98
"289",1,7,"Blue_whiting",5,100,"Blue_whiting",1e-06,0
"290",1,7,"Blue_whiting",5,100,"Capelin",0.0193747436542523,0
"291",1,7,"Blue_whiting",5,100,"Green_halibut",1e-06,0
"292",1,7,"Blue_whiting",5,100,"Haddock",1e-06,0
"293",1,7,"Blue_whiting",5,100,"Long_rough_dab",1e-06,0
"294",1,7,"Blue_whiting",5,100,"Mackerel",1e-06,0
"295",1,7,"Blue_whiting",5,100,"North_atl_cod",1e-06,0
"296",1,7,"Blue_whiting",5,100,"Norwegian_ssh",0.0010769924383982,0
"297",1,7,"Blue_whiting",5,100,"Polar_cod",1e-06,0
"298",1,7,"Blue_whiting",5,100,"Redfish",0.0637818564396377,4
"299",1,7,"Blue_whiting",5,100,"Saithe",1e-06,0
"300",1,7,"Blue_whiting",5,100,"allotherprey",0.915766407467712,96
"301",1,8,"Blue_whiting",3,100,"Blue_whiting",1e-06,0
"302",1,8,"Blue_whiting",3,100,"Capelin",0.00469359219966133,0
"303",1,8,"Blue_whiting",3,100,"Green_halibut",1e-06,0
"304",1,8,"Blue_whiting",3,100,"Haddock",1e-06,0
"305",1,8,"Blue_whiting",3,100,"Long_rough_dab",1e-06,0
"306",1,8,"Blue_whiting",3,100,"Mackerel",1e-06,0
"307",1,8,"Blue_whiting",3,100,"North_atl_cod",1e-06,0
"308",1,8,"Blue_whiting",3,100,"Norwegian_ssh",0.000448562287884419,8
"309",1,8,"Blue_whiting",3,100,"Polar_cod",1e-06,0
"310",1,8,"Blue_whiting",3,100,"Redfish",0.0469512622990631,0
