"","number","year","species","data","cv","predicted","residual","nll","numero"
"135",1,55,2,2536320,0.1,20919900,-2.10999,235.965,1000
"136",1,56,2,1542850,0.1,30276400,-2.97674,455.913,1000
"137",1,57,2,3227680,0.1,17515400,-1.69132,156.631,1000
"138",1,58,2,2161980,0.1,7010770,-1.17642,82.4014,1000
"139",1,59,2,2670540,0.1,2560480,0.0420839,13.5027,1000
"140",1,60,2,2673910,0.1,6822420,-0.936671,57.283,1000
"141",1,61,2,3134160,0.1,8943460,-1.04856,68.5483,1000
"142",1,62,2,2459880,0.1,3093150,-0.229077,15.9558,1000
"143",1,63,2,3028060,0.1,7884360,-0.956959,59.3283,1000
"144",1,64,2,2437640,0.1,7208520,-1.08423,72.1011,1000
"145",1,65,2,2145710,0.1,4567570,-0.755512,41.7352,1000
"146",1,66,2,3076420,0.1,2398020,0.249121,16.6587,1000
"147",1,67,2,1817630,0.1,2844210,-0.447751,23.0535,1000
"148",1,68,2,1994570,0.1,65362500,-3.48952,621.96,1000
"149",1,69,2,2304620,0.1,50207800,-3.08125,487.973,1000
"150",1,70,2,2296980,0.1,17262600,-2.01695,216.667,1000
"151",1,71,2,2043380,0.1,15711200,-2.03977,221.179,1000
"152",1,72,2,1855870,0.1,9996450,-1.68388,154.822,1000
"153",1,73,2,3003790,0.1,13531500,-1.50514,126.804,1000
"154",1,74,2,1878180,0.1,12531300,-1.89793,193.169,1000
"155",1,75,2,2832140,0.1,16921300,-1.78754,173.238,1000
"156",1,76,2,2357740,0.1,23353800,-2.29305,276.194,1000
"157",1,77,2,2231340,0.1,12025700,-1.68444,155.102,1000
"158",1,78,2,2076590,0.1,5694820,-1.00883,64.0496,1000
"159",1,79,2,2131080,0.1,2474850,-0.149547,14.3067,1000
"160",1,80,2,1672270,0.1,1232440,0.305186,17.603,1000
"161",1,1,3,376169,0.1,9819990,-3.26214,543.531,1000
"162",1,2,3,439043,0.1,12190000,-3.32377,563.981,1000
"163",1,3,3,431449,0.1,10819700,-3.22198,530.648,1000
"164",1,4,3,382372,0.1,9005790,-3.15923,510.507,1000
"165",1,5,3,407774,0.1,7265270,-2.88015,426.297,1000
"166",1,6,3,407048,0.1,5821980,-2.66046,365.436,1000
"167",1,7,3,407918,0.1,4690370,-2.4422,309.752,1000
"168",1,8,3,452344,0.1,7273640,-2.77757,397.383,1000
"169",1,9,3,436460,0.1,12602200,-3.36293,577.068,1000
"170",1,10,3,370975,0.1,16010700,-3.76488,720.156,1000
"171",1,11,3,387360,0.1,16619600,-3.75898,717.981,1000
"172",1,12,3,313828,0.1,15346800,-3.88982,767.807,1000
"173",1,13,3,479614,0.1,13170500,-3.31275,560.414,1000
"174",1,14,3,393831,0.1,10760200,-3.30768,558.539,1000
"175",1,15,3,326650,0.1,11968600,-3.60115,659.728,1000
"176",1,16,3,317267,0.1,16061100,-3.92441,781.333,1000
"177",1,17,3,347575,0.1,18558900,-3.97773,802.49,1000
"178",1,18,3,304808,0.1,18467500,-4.10409,853.42,1000
"179",1,19,3,233152,0.1,16551400,-4.26254,919.437,1000
"180",1,20,3,268164,0.1,13867400,-3.9457,789.544,1000
"181",1,21,3,274750,0.1,11132300,-3.70174,696.286,1000
"182",1,22,3,257684,0.1,8750130,-3.52509,632.389,1000
"183",1,23,3,200489,0.1,6827770,-3.52799,633.162,1000
"184",1,24,3,251398,0.1,5290350,-3.0466,475.141,1000
"185",1,25,3,241711,0.1,4075710,-2.82505,410.059,1000
"186",1,26,3,243314,0.1,3124450,-2.55266,336.823,1000
"187",1,27,3,223849,0.1,2406850,-2.3751,292.99,1000
"188",1,28,3,232143,0.1,1874340,-2.08866,229.096,1000
"189",1,29,3,213066,0.1,1463970,-1.9273,196.611,1000
"190",1,30,3,225371,0.1,1208220,-1.67916,151.92,1000
"191",1,31,3,190450,0.1,1066590,-1.72283,159.181,1000
"192",1,32,3,210164,0.1,938252,-1.49613,122.792,1000
"193",1,33,3,196360,0.1,808080,-1.41471,110.875,1000
"194",1,34,3,235619,0.1,683070,-1.06438,67.6318,1000
"195",1,35,3,198649,0.1,562935,-1.04163,65.0648,1000
"196",1,36,3,184529,0.1,462844,-0.919582,53.0235,1000
"197",1,37,3,197356,0.1,417729,-0.749826,38.921,1000
"198",1,38,3,229759,0.1,407395,-0.572753,27.3634,1000
"199",1,39,3,208777,0.1,386431,-0.615687,29.8189,1000
"200",1,40,3,183164,0.1,347507,-0.640403,31.2403,1000
"201",1,41,3,193368,0.1,301513,-0.444218,20.6552,1000
"202",1,42,3,238978,0.1,263210,-0.0965825,11.4669,1000
"203",1,43,3,230923,0.1,352093,-0.42181,19.8624,1000
"204",1,44,3,253940,0.1,600223,-0.860204,48.0588,1000
"205",1,45,3,225133,0.1,846776,-1.32474,98.6882,1000
"206",1,46,3,235824,0.1,1291620,-1.70057,155.584,1000
"207",1,47,3,302074,0.1,1840300,-1.80701,174.499,1000
"208",1,48,3,275634,0.1,2112250,-2.03644,218.497,1000
"209",1,49,3,290258,0.1,2069930,-1.9645,204.158,1000
"210",1,50,3,264689,0.1,1851260,-1.94507,200.267,1000
"211",1,51,3,300982,0.1,1590930,-1.66502,149.846,1000
"212",1,52,3,230016,0.1,1335260,-1.75873,165.619,1000
"213",1,53,3,293312,0.1,1098980,-1.3209,98.4438,1000
"214",1,54,3,307238,0.1,1856900,-1.79904,173.079,1000
"215",1,55,3,271870,0.1,3352600,-2.51217,326.679,1000
"216",1,56,3,283357,0.1,4311310,-2.72229,381.714,1000
"217",1,57,3,274370,0.1,4475930,-2.79199,400.899,1000
"218",1,58,3,259244,0.1,4092920,-2.75924,391.753,1000
"219",1,59,3,281479,0.1,3483530,-2.51574,327.612,1000
"220",1,60,3,313560,0.1,3058480,-2.27768,270.664,1000
"221",1,61,3,366497,0.1,3742670,-2.32356,281.375,1000
"222",1,62,3,301441,0.1,5359570,-2.87807,425.396,1000
"223",1,63,3,315224,0.1,6587650,-3.03967,473.256,1000
"224",1,64,3,300836,0.1,6827360,-3.12213,498.615,1000
"225",1,65,3,307401,0.1,6281390,-3.01719,466.425,1000
"226",1,66,3,277549,0.1,5356290,-2.96003,449.239,1000
"227",1,67,3,299242,0.1,4382880,-2.68421,371.475,1000
"228",1,68,3,285086,0.1,3544670,-2.52041,328.8,1000
"229",1,69,3,273645,0.1,2950260,-2.37782,293.836,1000
"230",1,70,3,292242,0.1,2530760,-2.15869,244.199,1000
"231",1,71,3,288077,0.1,2163620,-2.01631,214.462,1000
"232",1,72,3,303859,0.1,1983820,-1.87622,187.25,1000
"233",1,73,3,250808,0.1,1946030,-2.04886,220.941,1000
"234",1,74,3,244509,0.1,1843070,-2.01994,215.031,1000
"235",1,75,3,318980,0.1,1637780,-1.63597,145.109,1000
"236",1,76,3,318360,0.1,1375780,-1.46359,118.392,1000
"237",1,77,3,232190,0.1,1164890,-1.61283,141.033,1000
"238",1,78,3,288420,0.1,1021690,-1.2648,91.174,1000
"239",1,79,3,304834,0.1,917511,-1.1019,71.9529,1000
"240",1,80,3,285682,0.1,840470,-1.07908,69.4,1000
"241",1,1,4,804190,0.1,21464700,-3.28433,551.555,1000
"242",1,2,4,819002,0.1,41337100,-3.92143,781.112,1000
"243",1,3,4,956262,0.1,91233100,-4.55814,1051.22,1000
"244",1,4,4,1211110,0.1,502061000,-6.02719,1828.97,1000
"245",1,5,4,1499160,0.1,6115840,-1.40598,111.675,1000
"246",1,6,4,1130960,0.1,96904000,-4.45065,1002.97,1000
"247",1,7,4,1581620,0.1,72494600,-3.82507,744.447,1000
"248",1,8,4,1433870,0.1,1974890000,-7.22789,2624.91,1000
"249",1,9,4,1636620,0.1,1405900000,-6.7558,2294.96,1000
"250",1,10,4,1354940,0.1,205751000,-5.02291,1274.22,1000
"251",1,11,4,1371260,0.1,222957000,-5.09125,1308.79,1000
"252",1,12,4,1461310,0.1,93314400,-4.15664,876.695,1000
"253",1,13,4,2039260,0.1,3038820,-0.398884,21.0999,1000
"254",1,14,4,1824640,0.1,96771200,-3.97097,801.461,1000
"255",1,15,4,1892190,0.1,5321850,-1.03409,66.5365,1000
"256",1,16,4,1271780,0.1,7154750,-1.72736,161.86,1000
"257",1,17,4,874834,0.1,93408800,-4.67071,1103.07,1000
"258",1,18,4,615805,0.1,216486000,-5.86235,1730.31,1000
"259",1,19,4,486938,0.1,16425700,-3.51846,630.692,1000
"260",1,20,4,436038,0.1,193123,0.814404,44.7645,1000
"261",1,21,4,356933,0.1,343905000,-6.87057,2371.64,1000
"262",1,22,4,325512,0.1,134835000,-6.0264,1827.19,1000
"263",1,23,4,259657,0.1,8005.87,3.47919,616.321,1000
"264",1,24,4,192076,0.1,999501,-1.64937,146.802,1000
"265",1,25,4,165912,0.1,4169.3,3.68371,689.121,1000
"266",1,26,4,203076,0.1,101857000,-6.21775,1943.86,1000
"267",1,27,4,593678,0.1,45189700,-4.33229,950.347,1000
"268",1,28,4,997925,0.1,2948780,-1.08347,71.1249,1000
"269",1,29,4,1730280,0.1,8876900,-1.63517,146.669,1000
"270",1,30,4,1253950,0.1,499966,0.91951,54.9331,1000
"271",1,31,4,1620500,0.1,10541800,-1.87261,188.249,1000
"272",1,32,4,1130620,0.1,12395700000,-9.30234,4339.23,1000
"273",1,33,4,1021300,0.1,644061000,-6.44671,2090.46,1000
"274",1,34,4,729591,0.1,20494500,-3.33543,568.37,1000
"275",1,35,4,532004,0.1,7000390000,-9.48483,4509.9,1000
"276",1,36,4,442351,0.1,578238000,-7.17564,2586.1,1000
"277",1,37,4,402007,0.1,454300000,-7.03004,2482.6,1000
"278",1,38,4,354071,0.1,13508500,-3.64158,674.448,1000
"279",1,39,4,346392,0.1,4471450,-2.5579,338.514,1000
"280",1,40,4,689136,0.1,72921400,-4.6617,1098.63,1000
"281",1,41,4,1142810,0.1,194624000,-5.13758,1332.3,1000
"282",1,42,4,1610470,0.1,9614630,-1.78676,172.534,1000
"283",1,43,4,1737200,0.1,210992,2.10821,235.212,1000
"284",1,44,4,1521050,0.1,1629400,-0.0688079,13.088,1000
"285",1,45,4,1359600,0.1,23308500000,-9.74938,4765.26,1000
"286",1,46,4,1459730,0.1,1637460000,-7.02265,2478.69,1000
"287",1,47,4,1678780,0.1,228410000,-4.91307,1219.87,1000
"288",1,48,4,1821790,0.1,31551000,-2.85178,419.665,1000
"289",1,49,4,1663240,0.1,17911700,-2.37669,295.373,1000
"290",1,50,4,1369030,0.1,4600300000,-8.11978,3309.28,1000
"291",1,51,4,1875730,0.1,89132300,-3.86112,758.474,1000
