number,area,year,species,type,InpN,lenbin,obs_value,label,pred_value,nll,pearson,resid,res_abs,prey
1,1,42,1,0,816,5,0.00245098,catch,3.17E-10,-31.7233,137.7165923,1,137.7165923,-99
1,1,43,1,0,800,2,0.03125,catch,0.223165,49.1473,-0.406252343,0,0.406252343,-99
1,1,43,1,0,800,3,0.46,catch,0.508251,36.7077,-0.067681067,0,0.067681067,-99
1,1,43,1,0,800,4,0.50375,catch,0.1922,-388.309,0.710642315,1,0.710642315,-99
1,1,43,1,0,800,5,0.005,catch,3.16E-10,-66.3104,281.3614553,1,281.3614553,-99
1,1,44,1,0,821,2,0.031668697,catch,0.17049,43.7671,-0.336206931,0,0.336206931,-99
1,1,44,1,0,821,3,0.460414129,catch,0.315042,-143.421,0.258998306,1,0.258998306,-99
1,1,44,1,0,821,4,0.500609013,catch,0.135896,-535.919,0.989345364,1,0.989345364,-99
1,1,44,1,0,821,5,0.007308161,catch,1.89E-10,-104.834,532.067848,1,532.067848,-99
1,1,45,1,0,810,2,0.030864198,catch,0.244306,51.7206,-0.431829605,0,0.431829605,-99
1,1,45,1,0,810,3,0.44691358,catch,0.331783,-107.834,0.199877371,1,0.199877371,-99
1,1,45,1,0,810,4,0.516049383,catch,0.153512,-506.793,0.925298014,1,0.925298014,-99
1,1,45,1,0,810,5,0.00617284,catch,1.83E-10,-86.6643,456.0652467,1,456.0652467,-99
1,1,46,1,0,812,2,0.036945813,catch,0.26989,59.6569,-0.448392646,0,0.448392646,-99
1,1,46,1,0,812,3,0.444581281,catch,0.360828,-75.3522,0.139428551,1,0.139428551,-99
1,1,46,1,0,812,4,0.513546798,catch,0.173229,-453.166,0.817663033,1,0.817663033,-99
1,1,46,1,0,812,5,0.004926108,catch,1.79E-10,-68.5198,368.1061965,1,368.1061965,-99
1,1,47,1,0,806,2,0.02853598,catch,0.260619,50.8735,-0.454611408,0,0.454611408,-99
1,1,47,1,0,806,3,0.434243176,catch,0.370516,-55.548,0.104693855,1,0.104693855,-99
1,1,47,1,0,806,4,0.53101737,catch,0.184527,-452.396,0.806605554,1,0.806605554,-99
1,1,47,1,0,806,5,0.006203474,catch,1.66E-10,-87.1794,481.3626179,1,481.3626179,-99
1,1,48,1,0,825,2,0.026666667,catch,0.256476,49.7997,-0.453778899,0,0.453778899,-99
1,1,48,1,0,825,3,0.419393939,catch,0.394612,-21.0743,0.039450285,1,0.039450285,-99
1,1,48,1,0,825,4,0.547878788,catch,0.204939,-444.47,0.757539998,1,0.757539998,-99
1,1,48,1,0,825,5,0.006060606,catch,1.61E-10,-87.2054,477.0252946,1,477.0252946,-99
1,1,49,1,0,786,2,0.031806616,catch,0.234979,49.9956,-0.419131355,0,0.419131355,-99
1,1,49,1,0,786,3,0.435114504,catch,0.390589,-36.9201,0.071244089,1,0.071244089,-99
1,1,49,1,0,786,4,0.527989822,catch,0.213103,-376.529,0.682118304,1,0.682118304,-99
1,1,49,1,0,786,5,0.005089059,catch,1.48E-10,-69.4196,418.6859481,1,418.6859481,-99
1,1,50,1,0,811,2,0.030826141,catch,0.221388,49.2888,-0.405003656,0,0.405003656,-99
1,1,50,1,0,811,3,0.437731196,catch,0.372014,-57.7495,0.10774556,1,0.10774556,-99
1,1,50,1,0,811,4,0.526510481,catch,0.21348,-385.464,0.677498022,1,0.677498022,-99
1,1,50,1,0,811,5,0.004932182,catch,1.31E-10,-69.7726,430.7788215,1,430.7788215,-99
1,1,51,1,0,809,2,0.027194067,catch,0.130703,34.5385,-0.286309036,0,0.286309036,-99
1,1,51,1,0,809,3,0.431396786,catch,0.0117095,-1258.71,3.878436074,1,3.878436074,-99
1,1,51,1,0,809,4,0.533992583,catch,0.00338821,-2185.96,9.115608513,1,9.115608513,-99
1,1,51,1,0,809,5,0.007416564,catch,1.83E-12,-132.736,5482.661375,1,5482.661375,-99
1,1,52,1,0,815,2,0.030674847,catch,0.359292,61.5173,-0.548234618,0,0.548234618,-99
1,1,52,1,0,815,3,0.439263804,catch,0.0652282,-682.78,1.464519797,1,1.464519797,-99
1,1,52,1,0,815,4,0.525153374,catch,0.00535581,-1962.6,7.102670359,1,7.102670359,-99
1,1,52,1,0,815,5,0.004907975,catch,1.83E-12,-86.8421,3629.398976,1,3629.398976,-99
1,1,53,1,0,799,2,0.025031289,catch,0.44384,57.5067,-0.628640687,0,0.628640687,-99
1,1,53,1,0,799,3,0.440550688,catch,0.149321,-380.839,0.753659539,1,0.753659539,-99
1,1,53,1,0,799,4,0.530663329,catch,0.0117862,-1614.25,4.779446728,1,4.779446728,-99
1,1,53,1,0,799,5,0.003754693,catch,1.78E-12,-64.4172,2818.127362,1,2818.127362,-99
1,1,54,1,0,816,2,0.029411765,catch,0.466798,66.348,-0.640177813,0,0.640177813,-99
1,1,54,1,0,816,3,0.441176471,catch,0.243736,-213.609,0.39992296,1,0.39992296,-99
1,1,54,1,0,816,4,0.528186275,catch,0.024561,-1322.43,3.213545805,1,3.213545805,-99
1,1,54,1,0,816,5,0.00122549,catch,1.77E-12,-20.354,920.3655872,1,920.3655872,-99
1,1,55,1,0,813,2,0.029520295,catch,0.439379,64.8068,-0.618321738,0,0.618321738,-99
1,1,55,1,0,813,3,0.439114391,catch,0.325847,-106.505,0.198425752,1,0.198425752,-99
1,1,55,1,0,813,4,0.526445264,catch,0.0428009,-1074.1,2.337758695,1,2.337758695,-99
1,1,55,1,0,813,5,0.004920049,catch,1.74E-12,-87.0615,3734.873574,1,3734.873574,-99
1,1,56,1,0,807,2,0.030978934,catch,0.402811,64.129,-0.585863145,0,0.585863145,-99
1,1,56,1,0,807,3,0.436183395,catch,0.401597,-29.0799,0.054577052,1,0.054577052,-99
1,1,56,1,0,807,4,0.527881041,catch,0.067271,-877.62,1.775903893,1,1.775903893,-99
1,1,56,1,0,807,5,0.004956629,catch,1.74E-12,-87.087,3760.713908,1,3760.713908,-99
1,1,57,1,0,811,2,0.027127004,catch,0.350822,56.3145,-0.546503032,0,0.546503032,-99
1,1,57,1,0,811,3,0.429099877,catch,0.454262,19.8304,-0.037333102,0,0.037333102,-99
1,1,57,1,0,811,4,0.541307028,catch,0.0947619,-765.01,1.450602681,1,1.450602681,-99
1,1,57,1,0,811,5,0.002466091,catch,1.71E-12,-42.1818,1887.258232,1,1887.258232,-99
1,1,58,1,0,816,2,0.026960784,catch,0.299123,52.9423,-0.497625845,0,0.497625845,-99
1,1,58,1,0,816,3,0.43995098,catch,0.481753,32.5855,-0.060226143,0,0.060226143,-99
